,time,Temperature[k],Resistance[Ohm]
0,,300.0,6
0,,299.9750061035156,19
0,,299.9750061035156,15
0,,299.95001220703125,21
0,,299.95001220703125,2
0,,299.9250183105469,14
0,,299.9250183105469,1
0,,299.9000244140625,12
0,,299.9000244140625,6
0,,299.8750305175781,23
0,,299.8750305175781,8
0,,299.85003662109375,20
0,,299.85003662109375,18
0,,299.8250427246094,0
0,,299.8250427246094,20
0,,299.800048828125,25
0,,299.800048828125,11
0,,299.7750549316406,14
0,,299.7750549316406,5
0,,299.75006103515625,1
0,,299.75006103515625,7
0,,299.7250671386719,10
0,,299.7250671386719,0
0,,299.7000732421875,13
0,,299.7000732421875,24
0,,299.6750793457031,12
0,,299.6750793457031,7
0,,299.65008544921875,22
0,,299.65008544921875,15
0,,299.6250915527344,18
0,,299.6250915527344,1
0,,299.60009765625,11
0,,299.60009765625,1
0,,299.5751037597656,17
0,,299.5751037597656,14
0,,299.55010986328125,15
0,,299.55010986328125,10
0,,299.5251159667969,7
0,,299.5251159667969,0
0,,299.5001220703125,7
0,,299.5001220703125,11
0,,299.4751281738281,8
0,,299.4751281738281,3
0,,299.45013427734375,1
0,,299.45013427734375,10
0,,299.4251403808594,19
0,,299.4251403808594,17
0,,299.400146484375,23
0,,299.400146484375,6
0,,299.3751525878906,11
0,,299.3751525878906,3
0,,299.35015869140625,15
0,,299.35015869140625,17
0,,299.3251647949219,22
0,,299.3251647949219,24
0,,299.3001708984375,14
0,,299.3001708984375,7
0,,299.2751770019531,8
0,,299.2751770019531,11
0,,299.25018310546875,14
0,,299.25018310546875,24
0,,299.2251892089844,7
0,,299.2001953125,15
0,,299.2001953125,24
0,,299.1752014160156,15
0,,299.1752014160156,1
0,,299.15020751953125,6
0,,299.15020751953125,4
0,,299.1252136230469,20
0,,299.1252136230469,13
0,,299.1002197265625,16
0,,299.1002197265625,4
0,,299.0752258300781,14
0,,299.0752258300781,3
