,time,Temperature[k],Resistance[Ohm]
0,,305.0,2000.0,24
0,,304.8333435058594,2000.0,10
0,,304.8333435058594,2000.0,25
0,,304.66668701171875,2000.0,15
0,,304.66668701171875,2000.0,13
0,,304.5000305175781,2000.0,14
0,,304.5000305175781,2000.0,20
0,,304.3333740234375,2000.0,5
0,,304.3333740234375,2000.0,11
0,,304.1667175292969,2000.0,13
0,,304.00006103515625,2000.0,9
0,,304.00006103515625,2000.0,6
0,,303.8334045410156,2000.0,14
0,,303.8334045410156,2000.0,20
0,,303.666748046875,2000.0,8
0,,303.666748046875,2000.0,6
0,,303.5000915527344,2000.0,5
0,,303.5000915527344,2000.0,4
0,,303.33343505859375,2000.0,19
0,,303.33343505859375,2000.0,3
0,,303.1667785644531,2000.0,7
0,,303.1667785644531,2000.0,16
0,,303.0001220703125,2000.0,19
0,,303.0001220703125,2000.0,2
0,,302.8334655761719,2000.0,13
0,,302.8334655761719,2000.0,12
0,,302.66680908203125,2000.0,13
0,,302.66680908203125,2000.0,5
0,,302.5001525878906,2000.0,3
0,,302.33349609375,2000.0,25
0,,302.33349609375,2000.0,18
0,,302.1668395996094,2000.0,0
0,,302.1668395996094,2000.0,12
0,,302.00018310546875,2000.0,4
0,,302.00018310546875,2000.0,22
0,,301.8335266113281,2000.0,0
0,,301.8335266113281,2000.0,25
0,,301.6668701171875,2000.0,12
0,,301.6668701171875,2000.0,21
0,,301.5002136230469,2000.0,24
0,,301.5002136230469,2000.0,9
0,,301.33355712890625,2000.0,11
0,,301.33355712890625,2000.0,9
0,,301.1669006347656,2000.0,13
0,,301.1669006347656,2000.0,21
0,,301.000244140625,2000.0,23
0,,301.000244140625,2000.0,15
0,,300.8335876464844,2000.0,8
0,,300.8335876464844,2000.0,15
0,,300.66693115234375,2000.0,14
0,,300.66693115234375,2000.0,20
0,,300.5002746582031,2000.0,0
0,,300.5002746582031,2000.0,21
0,,300.3336181640625,2000.0,16
0,,300.3336181640625,2000.0,14
0,,300.1669616699219,2000.0,22
0,,300.1669616699219,2000.0,8
0,,300.00030517578125,2000.0,1
0,,299.8336486816406,2000.0,4
0,,299.8336486816406,2000.0,24
0,,299.6669921875,2000.0,12
0,,299.6669921875,2000.0,17
0,,299.5003356933594,2000.0,20
0,,299.5003356933594,2000.0,21
0,,299.33367919921875,2000.0,3
0,,299.33367919921875,2000.0,2
0,,299.1670227050781,2000.0,25
0,,299.1670227050781,2000.0,25
0,,299.0003662109375,2000.0,11
0,,299.0003662109375,2000.0,2
0,,298.8337097167969,2000.0,4
0,,298.8337097167969,2000.0,19
0,,298.66705322265625,2000.0,12
0,,298.66705322265625,2000.0,5
0,,298.5003967285156,2000.0,3
0,,298.5003967285156,2000.0,18
0,,298.333740234375,2000.0,6
0,,298.333740234375,2000.0,20
0,,298.1670837402344,2000.0,3
0,,298.1670837402344,2000.0,23
0,,298.00042724609375,2000.0,3
0,,298.00042724609375,2000.0,13
0,,297.8337707519531,2000.0,10
0,,297.8337707519531,2000.0,14
0,,297.6671142578125,2000.0,19
0,,297.6671142578125,2000.0,19
0,,297.5004577636719,2000.0,24
0,,297.33380126953125,2000.0,25
0,,297.33380126953125,2000.0,8
0,,297.1671447753906,2000.0,19
0,,297.1671447753906,2000.0,3
0,,297.00048828125,2000.0,3
0,,297.00048828125,2000.0,12
0,,296.8338317871094,2000.0,17
0,,296.8338317871094,2000.0,20
0,,296.66717529296875,2000.0,25
0,,296.66717529296875,2000.0,0
0,,296.5005187988281,2000.0,2
0,,296.5005187988281,2000.0,2
0,,296.3338623046875,2000.0,6
0,,296.3338623046875,2000.0,13
0,,296.1672058105469,2000.0,16
0,,296.1672058105469,2000.0,24
0,,296.00054931640625,2000.0,23
0,,296.00054931640625,2000.0,10
0,,295.8338928222656,2000.0,0
0,,295.8338928222656,2000.0,23
0,,295.667236328125,2000.0,10
0,,295.667236328125,2000.0,10
0,,295.5005798339844,2000.0,14
0,,295.5005798339844,2000.0,1
0,,295.33392333984375,2000.0,25
0,,295.1672668457031,2000.0,25
0,,295.1672668457031,2000.0,10
0,,295.0006103515625,2000.0,7
0,,295.0006103515625,-140000.0,4
0,,295.0,-130000.0,3
0,,295.0,-120000.0,17
0,,295.0,-110000.0,11
0,,295.0,-100000.0,11
0,,295.0,-90000.0,19
0,,295.0,-80000.0,3
0,,295.0,-70000.0,1
0,,295.0,-60000.0,3
0,,295.0,-50000.0,21
0,,295.0,-40000.0,15
0,,295.0,-30000.0,3
0,,295.0,-20000.0,16
0,,295.0,-10000.0,24
0,,295.0,0.0,7
0,,295.0,10000.0,17
0,,295.0,20000.0,12
0,,295.0,30000.0,17
0,,295.0,40000.0,25
0,,295.0,50000.0,9
0,,295.0,60000.0,14
0,,295.0,70000.0,20
0,,295.0,80000.0,22
0,,295.0,90000.0,4
0,,295.0,100000.0,17
0,,295.0,110000.0,20
0,,295.0,120000.0,3
0,,295.0,130000.0,4
